epoch,step,train_loss
1,20,1.3256
1,40,1.3859
1,60,1.451
1,80,1.4142
1,100,1.3569
1,120,1.4168
1,140,1.3829
1,160,1.3752
1,180,1.3708
1,200,1.3866
1,220,1.3398
1,240,1.3559
1,260,1.3619
1,280,1.3886
1,300,1.3712
1,320,1.3295
1,340,1.3525
1,360,1.3842
1,380,1.3525
1,400,1.3929
1,420,1.38
1,440,1.3262
1,460,1.2991
1,480,1.4018
1,500,1.3273
1,520,1.3604
1,540,1.3324
1,560,1.354
1,580,1.409
1,600,1.333
1,620,1.3179
1,640,1.3344
1,660,1.322
1,680,1.2897
1,700,1.3038
1,720,1.3564
1,740,1.3517
1,760,1.3215
1,780,1.3292
1,800,1.3143
1,820,1.2915
1,840,1.2607
1,860,1.3277
1,880,1.2537
1,900,1.2951
1,920,1.3239
1,940,1.3289
1,960,1.3552
1,980,1.3457
1,1000,1.3799
1,1020,1.3331
1,1040,1.4184
1,1060,1.2658
1,1080,1.2234
1,1100,1.3256
1,1120,1.2805
1,1140,1.396
1,1160,1.3645
1,1180,1.2589
1,1200,1.3179
1,1220,1.2828
1,1240,1.2626
1,1260,1.2905
1,1280,1.1605
1,1300,1.3274
1,1320,1.2205
1,1340,1.2848
1,1360,1.2753
1,1380,1.3349
1,1400,1.2768
1,1420,1.2653
1,1440,1.2701
1,1460,1.321
1,1480,1.2949
1,1500,1.2927
1,1520,1.2669
1,1540,1.1668
1,1560,1.3038
1,1580,1.2356
1,1600,1.3487
1,1620,1.2574
1,1640,1.3001
1,1660,1.248
1,1680,1.3445
1,1700,1.255
1,1720,1.2169
1,1740,1.2929
1,1760,1.1821
1,1780,1.2795
1,1800,1.2021
1,1820,1.3128
1,1840,1.2073
1,1860,1.3322
1,1880,1.2908
1,1900,1.1735
1,1920,1.2352
1,1940,1.2914
1,1960,1.1888
1,1980,1.2197
1,2000,1.2553
1,2020,1.163
1,2040,1.228
1,2060,1.2306
1,2080,1.2074
1,2100,1.2283
1,2120,1.226
1,2140,1.1963
1,2160,1.323
1,2180,1.2046
1,2200,1.2014
1,2220,1.1964
1,2240,1.1687
1,2260,1.2467
1,2280,1.212
1,2300,1.268
1,2320,1.2619
1,2340,1.2365
1,2360,1.2665
1,2380,1.2272
1,2400,1.1698
1,2420,1.2239
1,2440,1.2556
1,2460,1.2319
1,2480,1.2785
1,2500,1.2152
1,2520,1.2288
1,2540,1.3394
1,2560,1.224
1,2580,1.231
1,2600,1.1292
1,2620,1.3162
1,2640,1.1679
1,2660,1.1744
1,2680,1.2605
1,2700,1.1878
1,2720,1.126
1,2740,1.2619
1,2760,1.2416
1,2780,1.1656
1,2800,1.2237
1,2820,1.1411
1,2840,1.2568
1,2860,1.2481
1,2880,1.2746
1,2900,1.2811
1,2920,1.2345
1,2940,1.1808
1,2960,1.2026
1,2980,1.1806
1,3000,1.1793
1,3020,1.2309
1,3040,1.1619
1,3060,1.3775
1,3080,1.2039
1,3100,1.2066
1,3120,1.2212
1,3140,1.1888
1,3160,1.1883
1,3180,1.153
1,3200,1.2299
1,3220,1.1964
1,3240,1.1679
1,3260,1.2672
1,3280,1.1337
1,3300,1.3033
1,3320,1.1525
1,3340,1.1652
1,3360,1.1457
1,3380,1.2241
1,3400,1.2203
1,3420,1.1996
1,3440,1.1922
1,3460,1.1481
1,3480,1.1835
1,3500,1.181
1,3520,1.118
1,3540,1.1155
1,3560,1.1612
1,3580,1.1721
1,3600,1.2109
1,3620,1.1221
1,3640,1.1554
1,3660,1.2976
1,3680,1.1952
1,3700,1.2113
1,3720,1.1224
1,3740,1.0944
1,3760,1.1987
1,3780,1.169
1,3800,1.1683
1,3820,1.1726
1,3840,1.0855
1,3860,1.1277
1,3880,1.118
1,3900,1.2007
1,3920,1.2129
1,3940,1.1608
1,3960,1.2816
1,3980,1.1844
1,4000,1.1273
1,4020,1.2121
1,4040,1.0996
1,4060,1.1789
1,4080,1.0413
1,4100,1.1057
1,4120,1.2039
1,4140,1.184
1,4160,1.1635
1,4180,1.1079
1,4200,1.1742
1,4220,1.2828
1,4240,1.2442
1,4260,1.2039
1,4280,1.1703
1,4300,1.153
1,4320,1.2155
1,4340,1.1407
1,4360,1.2777
1,4380,1.1023
1,4400,1.0523
1,4420,1.1286
1,4440,1.0936
1,4460,1.1362
1,4480,1.2377
1,4500,1.1532
1,4520,1.1741
1,4540,1.1025
1,4560,1.2385
1,4580,1.1932
1,4600,1.1157
1,4620,1.0376
1,4640,1.2457
1,4660,1.1728
1,4680,1.2511
1,4700,1.0645
1,4720,1.1411
1,4740,1.2026
1,4760,1.1706
1,4780,1.2507
1,4800,1.1972
1,4820,1.3568
1,4840,1.0727
1,4860,1.2374
1,4880,1.0642
1,4900,1.1871
1,4920,1.1018
1,4940,1.1695
1,4960,1.169
1,4980,1.2204
1,5000,1.197
1,5020,1.1283
1,5040,1.2149
1,5060,1.1283
1,5080,1.1722
1,5100,1.1182
1,5120,1.1603
1,5140,1.2949
1,5160,1.1645
1,5180,1.2189
1,5200,1.1829
1,5220,1.1193
1,5240,1.0867
1,5260,1.1388
1,5280,1.2694
1,5300,1.091
1,5320,1.1186
1,5340,1.1989
1,5360,1.0152
1,5380,1.1108
1,5400,1.1592
1,5420,1.1266
1,5440,1.0949
1,5460,1.0484
1,5480,1.0981
1,5500,1.1641
1,5520,1.0732
1,5540,1.0605
1,5560,1.1377
1,5580,1.1585
1,5600,1.2422
1,5620,1.1703
1,5640,1.0409
